,код СКМТР,Наименование,Маркировка,Регламенты (ГОСТ/ТУ),Параметры,Базисная Единица измерения,ОКПД2,is_tu,ОКПД2_сокр,Параметры парс
391585,4025201237,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,IPPON BACK COMFO PRO II 650,,"650ВА/360ВТ, 8РОЗЕТОК, 125X150X254, 4,55КГ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
392426,4025201247,БЛОК ПИТАНИЯ,XILENCE PERFORMANCE A+III XN085 XP650MR11,,"650ВТ, ATX12V 2.52, 200-240В, ATX, 20+4PIN, 1X4+4PIN, 2Х6+2PIN, ВЕНТИЛЯТОР-120Х120 250Х160Х100",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
392616,4025201234,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ ОНЛАЙН ТИПА,ATS 1000 R-BE,,"1000ВТ 2U 88Х438Х420 15,6КГ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
409744,4025240259,БЛОК ПИТАНИЯ,ZALMAN ZM500-XEII,,500ВТ ATX D-120ММ 86Х150Х140ММ 20+4PIN 83%,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
409750,4025201220,БЛОК ПИТАНИЯ,CHIEFTEC GPA-550S,,ATX 550ВТ D-120ММ 86Х150Х140ММ 20+4PIN,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
409949,4025240266,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,CYBERPOWER BS850E,,850ВА 480ВТ 230В SCHUKOХ8 166Х118Х288 4.7КГ ЧЕРНЫЙ,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
409991,4025240264,МОДУЛЬ БАТАРЕЙНЫЙ ИСТОЧНИКА БЕСПЕРЕБОЙНОГО ПИТАНИЯ,АТС-КОНВЕРС BP 24-18-2U ATS 1000 R-BX,,"24В (2Х12) /12В 9А/ЧАС / 88(2U)Х438Х420 / 16,5КГ",796,26.20.40.110,0,26,аритикул маркета|модель/исполнение|номин. напряжение|емкость батареи|особенности
410037,4025201221,БЛОК ПИТАНИЯ АКТИВНЫЙ,GIGABYTE GP-P650B,,"650ВТ, ATX12V2,31 24+4+4PIN, UВХОДА=100-240В, ВЕНТИЛЯТОР-120Х120,140Х86Х150, ЧЕРНЫЙ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
410481,4025201248,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,CYBERPOWER UT650EIG,,650ВА 360ВТ CEE 7 IEC 320 C13 (UPS):4 84Х174Х280 4КГ,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
411196,4025100381,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,AEROCOOL VX PLUS 550,,"550ВТ ATX12V=2.3 ВЕНТИЛЯТОР=120Х120 150Х86Х140 1,3КГ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
411338,4025240262,ИСТОЧНИК ПИТАНИЯ РЕЗЕРВНЫЙ,РИП-12 ИСП.100 (РИП-12-3/7М6-V1),,"203Х163Х74, 1,5КГ, 150-265В, 3А",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
411917,4025240267,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,FSP QDION ATX QD450,,450ВТ ATX 20+4PIN DВЕНТИЛЯТОРА=120,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
413332,4025201253,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,POWERMAN BACK PRO 1500 6117061,,"900ВА 165-275В/220В 142Х245Х380 11,05КГ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
414276,4025201255,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,POWERCOM RAPTOR RPT-800A EURO,,"800ВА/480ВТ 160-275В/220-240В/3EURO/100Х278Х140/4,4КГ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
414297,4025201256,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,IPPON BACK BASIC EURO 650S 1373874,,"650ВА 360ВТ SCHUKO CEE 7 - 3ШТ USB TYPE B 100Х143Х278ММ 4,35КГ IP20",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
423208,4025201254,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,IPPON BACK BASIC 1500 EURO,,1550ВА 900ВТ 162-280В 4EURO 139Х364Х195 10.9 КГ ЧЕРНЫЙ,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
423273,4025201257,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,CROWN CMU-SP500IEC,,"500ВА 300ВТ 140-290В 50-60ГЦ 40ДБ, 4ХIEC320 C13, 90Х145Х320 4КГ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
423276,4025201258,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,COOLER MASTER MPE-6001-ACABN-EU,,600ВТ/ ATX/80 PLUS/ PFC/1 ВЕНТИЛЯТОР 120ММ/20+4 PIN/86Х150Х140,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
446705,4025201249,БЛОК ПИТАНИЯ,THERMALTAKE TOUGHPOWER PS-TPI-0850F3FDGE-1,,850ВТ 12В IRGB PLUS 80+ GOLD EPSV2.92 150Х86 Х160 ЧЕРНЫЙ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
446734,4025201263,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,POWERCOM RAPTOR RPT-1025AP,,"1025ВА/230В/146Х360Х164ММ/8,4КГ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
447028,4025201267,БЛОК ПИТАНИЯ НА DIN-РЕЙКУ,DRA40-24,,"24В 40ВТ 1,7A",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
447119,4025201268,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,EXEGATE 600NPXE,,ATX 2.3 12В 600ВТ 24+4+(4+4)PIN 150Х86Х140 1.25КГ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
447403,4025240269,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,ИСТОК ИДП-1-1/1-6-220-Т,ТУ 4025-003-55978767-08,6КВА 220В 438Х500Х88ММ 20КГ IP20,796,26.20.40.110,1,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
447730,4025100384,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,COUGAR BXM 850W (31BX085.0001P),,"850 ВТ 25 А 100-240 В 50/60ГЦ 8SATA 6PCI-E 135X135 ММ 2,15КГ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
448174,4025201272,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,DEXP IEC PRO 2000VA,,"2000 ВА, 1200 ВТ, 6 X IEC 320 C13 (КОМПЬЮТЕРНАЯ), RJ-11, RJ-45, USB 14КГ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
448546,4025201273,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ ОДНОФАЗНЫЙ,ATS 1500 R-BX,,"1350ВТ 1,5А 88(2U)Х438Х420 15,5КГ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
448577,4025240270,БЛОК ПИТАНИЯ,AEROCOOL ECO-500W,,500ВТ ATX12V=2.3 20+4PIN D=120 2ХMOLEX/3ХSATA/1ХFDD 150Х86Х140 СЕРЫЙ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
449266,4025201277,БЛОК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,APC BACK-UPS BX750MI-GR,,"750ВА/140-300 В/ 410 ВТ/RS-232, USB/IEC 320 C13 (КОМПЬЮТЕРНЫЙ)/4 РАЗЪЕМОВ/IP20/355Х120Х160ММ/5,4КГ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
449273,4025201278,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,IPPON SMART POWERPRO II 1200 1005583,,"1200ВА/720ВТ/162-290В/45-65 ГЦ/IEC C14/SСHUKO CEE 7/7P/IP20/139Х195Х364/ 9,7КГ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
449952,4025201282,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,APC BACK-UPS BX1200MI-GR,,"1200ВА/140-300 В/ 650 ВТ/RS-232, USB/IEC 60320 C14/4 РАЗЪЕМОВ/IP20/390Х140Х190ММ/7,6КГ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
450212,4025201283,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,IPPON SMART WINNER II 3000,,2700ВТ 3000ВA 3МИН 1ХIEC320C19 8ХIEC320C13,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
450459,4025100385,БЛОК ПИТАНИЯ,ACCORD ACC-450W-12,,450ВТ ATX 20+4PIN ВЕНТИЛЯТОР=120Х120 150Х86Х140,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
450488,4025201287,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,MEAN WELL NDR-480-24,,"24В 20А 480ВТ 128,5Х125,2Х85,5 1,7КГ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
503167,4025240274,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,BN285 STRAIGHT POWER 11,,"1000ВТ/ATX12V 2.4/1 ВЕНТИЛЯТОР 135Х135/20+4PIN/4+4PIN CPU-1/8-PIN CPU-1/6+2-PIN PCI-E-6/4-PIN IDE (MOLEX)-4/15-PIN SATA-11/4-PIN FLOPPY-1/PFC-АКТИВНЫЙ/СЕРТИФИКАТ 80 PLUS GOLD/ОТСТЕГИВАЮЩИЕСЯ КАБЕЛИ 170Х150Х86 1,85КГ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
507397,4025240278,АККУМУЛЯТОР ПОРТАТИВНЫЙ ДЛЯ ЗАРЯДКИ МОБИЛЬНЫХ УСТРОЙСТВ,RIVACASE (RIVAPOWER) VA2020,,"3,7В, 74ВТ/ЧАС, 20000МА/ЧАС",796,26.20.40.110,0,26,|назначение|тип|модель совместимого устройства|тип аккумулятора
508729,4025240279,БЛОК ПИТАНИЯ,EMACS M1S-3501V (PSMI),,110-240В 47-63ГЦ 500ВТ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
510611,4025240282,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ С ДВОЙНЫМ ПРЕОБРАЗОВАНИЕМ,IRBIS ISL3000ERMI,,"3000ВА/2700ВТ/165-295 ВТ/RS-232 USB/ 8РАЗЪЕМОВ IEC320C/440Х88Х718/29,3КГ/ЧЕРНЫЙ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
512105,4025100387,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ БЕЗ ВСТРОЕННЫХ АККУМУЛЯТОРОВ,SNR ON-LINE SNR-UPS-ONRM-1000-X24,,"1000ВА, 24В DC, 86,5Х440Х430 11,5КГ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
512601,4025240284,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,BE QUIET! SYSTEM POWER 9 700W,,700ВТ/80PLUS BRONZE/APFC/20+4 PIN/1X 4+4 PIN CPU/2X MOLEX/6X SATA,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
513039,4025100386,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,KEHUA KR1000+,,"1000ВАТТ/230ВОЛЬТ/145Х360Х225/9,6КГ/ЧЕРНЫЙ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
513237,4025200924,МОДУЛЬ ВНЕШНИЙ НА ШИНУ,L-CARD Е14-440,,"АЦП/ЦАП 14/12БИТ 16/32КАНАЛОВ 400КГЦ USB2.0 400МА 40Х96Х30 0,2КГ",796,26.20.40.110,0,26,аритикул маркета|модель/исполнение|номин. напряжение|емкость батареи|особенности
515244,4025100388,БЛОК ПИТАНИЯ,FSP QDION QD600,,"600ВТ ATX 1ВЕНТИЛЯТОР D=120 150Х86Х140 1,53КГ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
515533,4025201290,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,APC BACK-UPS BX1600MI,,230В 50/60ГЦ 900ВТ 1600ВА IEC РОЗЕТКИ 190Х140Х390 IP20,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
516739,4025201292,АККУМУЛЯТОР СТАЦИОНАРНЫЙ СВИНЦОВО-КИСЛОТНЫЙ,CSB GP-12120,ГОСТ 12.2.007.12-88 ГОСТ Р МЭК 61056-1-2012 ГОСТ Р МЭК 60896-22-2015,"12В 12А/ЧАС 151Х98Х100,3",796,26.20.40.110,0,26,|назначение|тип|модель совместимого устройства|тип аккумулятора
521457,4025240286,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,CYBERPOWER BU600E,,600ВА 360ВТ 165-280В 50ГЦ RBP0119 3РОЗЕТКИ 18МИН(ПРИ 90ВТ) 92Х158Х240 3.8КГ ЧЕРНЫЙ,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
534897,4025240273,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,DEEPCOOL DQ850-M-V2L,,850ВТ 100-240В 12А ATX 12V V2.4 150Х160Х86,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
550343,4025240277,БЛОК ПИТАНИЯ,SUPER POWER WINARD 450WA,,"450ВА ATX 20+4,1X4PIN CPU, 2XSATA, 2XMOLEX, 1XFDD, 140Х150Х86, 0,68КГ, СЕРЫЙ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
550371,4025240276,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,CYBERPOWER UT1100EG,,"1100ВА 230В 4ХSCHUKO 95Х220Х307 6,9КГ ЧЕРНЫЙ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
551450,4025240287,БЛОК ПИТАНИЯ,HIPER HPG-1200FM HPG-1200FM,,"1200ВТ ATX2.31 APFC 150Х160Х86 2,12КГ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
556156,4025201297,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,IPPON BACK BASIC 850 IEC,,"850ВА 480ВТ 162-275В 3ХIEC320C13 100Х143Х278 5,15КГ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
556915,4025201300,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,THERMALTAKE SMARTRGB PS-SPR-0700NHSAWE-1,,700ВТ ATX 12V 2.3 150Х86Х140 2.1КГ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
560258,4025201316,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,PRIME BOX PC500 500W,,"500W, ATX, D ВЕНТИЛЯТОРА 120 ММ 20+4 PIN, 4-PIN CPU 1, 15-PIN SATA 2, 4-PIN MOLEX 2",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
560287,4025201315,БЛОК ПИТАНИЯ,XILENCE GAMING SERIES XN240 (XP850R10),,"850 ВТ, 80+ BRONZE, EPS12V, APFC, 20 + 4 PIN, 4+4 PIN, 8 PIN CPU, 8 SATA, 6+2 PIN X4 PCI-E",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
562805,4025201317,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,CYBERPOWER BR1000ELCD,,1000ВА 230В SCHUKO X 8 USB-A X 1 166X118X288/6.5КГ/ЧЕРНЫЙ,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
563016,4025100390,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,ИМПУЛЬС ПИОНЕР 650,ГОСТ 30428-96,"650ВА/360ВТ, LED, USB, RJ11/RJ45, SCHUKOХ6",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
565528,4025240296,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,CYBERPOWER UT1100EIG,,"1100ВА 165-290В 660ВТ, 6ХIEC C13, 94Х220Х307 6,9КГ ЧЕРНЫЙ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
566593,4025240300,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,HERMES TECHNICS HT-UPS BACK RG-800LD RG48800,,"480ВТ 65ГЦ EURO IEC320 220 100Х290Х143 4,4КГ ЧЕРНЫЙ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
566594,4025240299,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,HERMES TECHNICS HT-UPS BACK RG-700LD RG42700,,"420 ВТ/ 700 ВA, 162 - 290 В, 45 - 65 ГЦ, URO, 220 +/- 10% В, 50/60 +/- 1% ГЦ 100Х290Х143 4.4КГ ЧЕРНЫЙ/БЕЛЫЙ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
566595,4025240294,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,HERMES TECHNICS HT-UPS BACK RG-500LD RG30500,,"100Х290Х143 300 ВТ/ 500 ВA, 162 - 290 В, 45 - 65 ГЦ, EURO, 220 +/- 10% В, 50/60 +/- 1% ГЦ ЧЕРНЫЙ/БЕЛЫЙ 4.4КГ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
572505,4025201311,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,IPPON SMART POWERPRO II 1600 1005588,,"LINE-INTERACTIVE 1600ВА/960В 230В COM (RS-232, DB9) RJ-45 10/100/1000 BASE-T USB IEC 320 C14 LCD, 139Х195Х364 10,5КГ ЧЕРНЫЙ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
573171,4025240298,БЛОК ПИТАНИЯ,DEEPCOOL PK800D,,"800ВТ ATX12V V2.4 ВЕНТИЛЯТОР=120Х120 150Х140Х86 2,8КГ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
573198,4025240297,БЛОК ПИТАНИЯ,DEEPCOOL PF650,,650ВТ ATX12V V2.4 ВЕНТИЛЯТОР=120Х120 86Х150Х140 ЧЕРНЫЙ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
575278,4025240302,БЛОК ПИТАНИЯ,FSP QD-600PNR,,600ВТ 80 PLUS ATX СЕРЫЙ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
587242,4025201319,БЛОК ПИТАНИЯ,THERMALTAKE LT-550P PS-LTP-0550NPCNEU-2,,550ВТ ATX 12В 24+4+4PIN D=120,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
587258,4025201320,БЛОК ПИТАНИЯ НА DIN-РЕЙКУ,MEAN WELL MDR-10-12,,"0,84А 12В 10ВТ IP20 22,5Х90Х100 0,17КГ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
587309,4025201321,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ КОМПЬЮТЕРА,POWERCOM SPIDER SPD-1000N,,"550ВТ 1000ВА 285Х232Х103 4,47КГ ЧЕРНЫЙ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
588106,4025200525,ИСТОЧНИК ВТОРИЧНОГО ЭЛЕКТРОПИТАНИЯ РЕЗЕРВИРОВАННЫЙ,СКАТ-2400И7,ФИАШ.430600.162 ТУ,"24В 4.5А 2АКБ 7-12А/ЧАС 12В 333Х240Х134 1,2КГ",796,26.20.40.110,1,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
588108,4025240304,БЛОК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,FSP DPV 1000,,"600ВТ 1000ВА 182Х320Х182 7,8КГ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
588128,4025240305,БЛОК ПИТАНИЯ КОМПЬЮТЕРА,AEROCOOL ECO-550,,"500ВТ АТХ 24+4PIN 12В 2,3В D=120",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
588129,4025240306,БЛОК ПИТАНИЯ,THERMALTAKE SMART BM2 550W -TT PREMIUM EDITION PS-SPD-0550MNFABE-1,,550ВТ АТХ 20+4PIN D=140 160Х150Х86,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
588484,4025100391,БЛОК ПИТАНИЯ,ZALMAN ZM800-EBTII,,800ВТ ATX12V DВЕНТИЛЯТОРА=135,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
589151,4025201324,БЛОК ПИТАНИЯ,COOLER MASTER MWE GOLD 750-V2 MPE-7501-AFAAG,,"750ВТ ATX12В 24PIN DВЕНТИЛЯТОРА=120 86Х150Х140 1,49КГ ЧЕРНЫЙ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
589286,4025100393,БЛОК ПИТАНИЯ,COOLER MASTER MPE-6501-ACABW-EU,,"650ВТ ATX 12В ВЕНТИЛЯТОР D=120 150Х86Х140 1,53КГ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
589295,4025240307,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,POWERMAN ONLINE 2000 RT,,2000ВА 8XIEC320C13 466Х440Х87 21КГ,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
589296,4025100392,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,FOXLINE FZ450R,,450ВТ ATX2.3 24PIN DВЕНТИЛЯТОРА=120 LПРОВОДОВ=350 140Х150Х86 83ГР,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
590983,4025100395,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,FORMULA FX-600,,"ATX 600ВТ 12В V2.3 150Х86Х140 1,6КГ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
590984,4025100394,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,GMNG PSU-600W-80+,,"ATX 600ВТ 12V V2.3 80PLUS 150Х86Х140 1,8КГ ЧЕРНЫЙ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
592463,4025200394,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,POWERCOM WOW-300,,"300ВА/165ВТ 220/230В 50-60ГЦ 3ХEURO 100Х315Х68 1,9КГ ЧЕРНЫЙ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
593335,4025201331,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,POWERCOM KING PRO RM KIN-2200AP LCD,,"2200ВА/1760ВТ 8ХIEC320C13 RS-232 SNMP USB ЖК-ДИСПЛЕЙ 428Х353Х130 28,4КГ ЧЕРНЫЙ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
593592,4025201332,БЛОК ПИТАНИЯ НА DIN-РЕЙКУ,NDR-240-24,,"24В, 10А, 240ВТ 63Х125,2Х113,5 1,17КГ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
593667,4025201333,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ ЛИНЕЙНО-ИНТЕРАКТИВНЫЙ,POWERCOM RAPTOR RPT-800AP,,"800ВА/480ВТ 220В 3Х IEC 320 C13 278Х100Х140 4,4КГ ЧЕРНЫЙ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
593672,4025201334,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,ACCORD ACC-600W-NP,,"ATX, 600ВТ, ВЕНТИЛЯТОР 120, 150Х86Х140 ЧЕРНЫЙ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
593918,4025240309,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,AEROCOOL ECO-600W,,"ATX 12В 2,3 600ВТ 230В 4,5A 47-63ГЦ 20+4P 4+4P PCIE 6+2P 3PATA 4SATA FDD",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
595352,4025240310,БЛОК ПИТАНИЯ,QDION QD-500PNR 80+ ATX,,"500ВТ ATX 12V VER. 2.3 20+4PIN 230В 150Х86Х140 1,3КГ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
595420,4025240308,БЛОК ПИТАНИЯ,DEEPCOOL DA500,,"500ВТ ATX12V V2.3 ВЕНТИЛЯТОР=120Х120 150Х140Х86 1,65КГ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
595560,4025100133,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,DEEPCOOL EXPLORER DE600,,ATX 12V V2.31 600ВТ 24+4+4 PIN 1 ВЕНТИЛЯТОР=120 150Х140Х86,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
596186,4025240312,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,CHIEFTEC POLARIS PPS-850FC,,850ВТ ATX 12V DВЕНТИЛЯТОРА=140 150Х160Х86,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
596190,4025240311,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,FSP QDION QD500,,500ВТ 230-240В ATX 12В DВЕНТИЛЯТОРА=120 86Х140Х150,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
