,форм-фактор,мощность,стандарт эффективности,pfc,тип товара в одно слово,тип товара в 2 слова,Наименование,Параметры_изначальные,тип,длина кабеля,особенности,максимальная нагрузка,выходная мощность,выходных разъемов,разъемов с питанием от батареи,интерфейсы,аритикул маркета,модель/исполнение,номин. напряжение,емкость батареи,источник света,тип цоколя,тип питания,Тип товара в одно слово,Тип товара в 2 слова,артикул маркета,тип товара в два слова,назначение,модель совместимого устройства,тип аккумулятора,цвет товара,выход. напряжение (мин),корпус,артикула маркета
240,,,,,адаптер,адаптер питания,['АДАПТЕР ПИТАНИЯ УНИВЕРСАЛЬНЫЙ'],"['90ВТ 12-24В 100-240В 11-КОННЕКТОРОВ 64Х36Х135 0,52КГ ЧЕРНЫЙ']",адаптер питания,,,,,,,,,,,,,,,,,,,,,,черный,12,,
241,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['650ВА 162-268В LED ДИСПЛЕЙ АКБ-12В 7А/ЧАС 279Х101Х142 4,2КГ ЧЕРНЫЙ']",,,,,650ва,,,,,,,,,,,,,,,,,,,,,
242,,90,,,блок,блок питания,['БЛОК ПИТАНИЯ УНИВЕРСАЛЬНЫЙ ДЛЯ НОУТБУКОВ'],"['90ВТ 24В 5А 8 КОННЕКТОРОВ 118Х60Х37 0,2КГ ЧЕРНЫЙ']",,,,,,,,,,,,,,,,,,,,,,,,,,
243,atx,500,,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],"['ATX 500ВТ РАЗЪЕМЫ-24+4+4PIN/6+2 PIN/PERIPHERAL (MOLEX-2ШТ/SATA-4ШТ/FDD, PFC, FAN D=120,150Х86Х140']",,,,,,,,,,,,,,,,,,,,,,,,,,
244,atx,850,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['ATX 12V V2.4 850ВТ DВЕНТ=140 180Х150Х86'],,,,,,,,,,,,,,,,,,,,,,,,,,
245,,5,,,блок,блок питания,['БЛОК ПИТАНИЯ ДЛЯ СЕТЕВОГО ОБОРУДОВАНИЯ'],"['5В 5ВТ 1А ШТЕКЕР=5,5-2,5 0,125КГ']",,,,,,,,,,,,,,,,,,,,,,,,,,
246,,,,,аккумулятор,аккумулятор портативный,['АККУМУЛЯТОР ПОРТАТИВНЫЙ ДЛЯ ЗАРЯДКИ МОБИЛЬНЫХ УСТРОЙСТВ'],"['20000МА/ЧАС 74ВТ/ЧАС LI-POL 2ХUSB, USB TYPE-C, MICRO USB 67Х137Х24,7 0,386КГ СЕРЕБРИСТЫЙ']",портативный,,,,,,,,,,,,,,,,,,,,,li-pol,,,,
247,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['390ВТ 650ВА 285Х232Х103 3,67КГ ЧЕРНЫЙ']",,,,,650,,,,,,,,,,,,,,,,,,,,,
248,,180,,,блок,блок питания,['БЛОК ПИТАНИЯ ДЛЯ НОУТБУКОВ'],"['19,5В 9,23А 180ВТ']",,,,,,,,,,,,,,,,,,,,,,,,,,
249,atx,600,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['600ВТ ATX 12V V2.2/PS2 150Х140Х86 1.22КГ'],,,,,,,,,,,,,,,,,,,,,,,,,,
250,atx,600,80plus,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],['ATX12V DВЕНТИЛЯТОРА=120 600ВТ 80PLUS CPU/PCI-E/SATA/MOLEX/FLOPPY 150Х86 ЧЕРНЫЙ'],,,,,,,,,,,,,,,,,,,,,,,,,,
251,atx,600,,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],['ATX12V 2.3 600ВТ 24+4+4PIN DВЕНТИЛЯТОРА=120 140Х86Х150'],,,,,,,,,,,,,,,,,,,,,,,,,,
252,,,,,источник,бесперебойное питание,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['900ВТ 1000ВА, 4ХIEC C13, USB, RS232, 438Х86,5Х436 13,2КГ ЧЕРНЫЙ']",,,,,900,4,,"usb, rs232",,,,,,,,,,,,,,,,,,
253,,36,,,блок,блок питания,['БЛОК ПИТАНИЯ'],"['36ВТ AC=85-264В/DC=24В 1,5А 78Х93Х56 0,27КГ']",,,,,,,,,,,,,,,,,,,,,,,,,,
254,atx,750,80+gold,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],['750ВТ ATX 12В 20+4PIN DВЕНТИЛЯТОРА=120 160Х150Х86'],,,,,,,,,,,,,,,,,,,,,,,,,,
255,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['650ВА 12В 7АЧАС 162-268В USB/RJ-11/RJ-45 101Х279Х142 4,2КГ ЧЕРНЫЙ']",,,,,650ва,,,usb/rj-11/rj-45,,,,,,,,,,,,,,,,,,
256,atx,850,v2.3,,блок,блок питания,['БЛОК ПИТАНИЯ'],['850ВТ 12В ATX V2.3 ВЕНТИЛЯТОР-D=140 160Х150Х86 2.869КГ'],,,,,,,,,,,,,,,,,,,,,,,,,,
257,,65,,,блок,блок питания,['БЛОК ПИТАНИЯ ДЛЯ НОУТБУКОВ'],"['100-240В/18В 65ВТ 40,5Х100,7Х30 453Г']",,,,,,,,,,,,,,,,,,,,,,,,,,
258,,5,,,блок,блок питания,['БЛОК ПИТАНИЯ СЕТЕВОЙ'],"['AC/DC 5В 1А ШТЕКЕР P1J D=5,5/2,1 L=9,5 32Х66Х42,5 100Г']",,,,,,,,,,,,,,,,,,,,,,,,,,
259,,90,,,блок,блок питания,['БЛОК ПИТАНИЯ ДЛЯ НОУТБУКА'],"['100-240/19В 4.74А 90ВТ КОННЕКТО-5,5Х2,5']",,,,,,,,,,,,,,,,,,,,,,,,,,
260,,650,,,блок,блок бесперебойного,['БЛОК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['650ВТ'],,,,,,,,,,,,,,,,,,,,,,,,,,
261,,350,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['350ВТ'],,,,,,,,,,,,,,,,,,,,,,,,,,
262,,1.6,,,блок,блок питания,['БЛОК ПИТАНИЯ'],"['3-12В 1,6А']",,,,,,,,,,,,,,,,,,,,,,,,,,
263,,500,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['500ВТ'],,,,,,,,,,,,,,,,,,,,,,,,,,
264,,550,,,блок,блок питания,['БЛОК ПИТАНИЯ К КОМПЬЮТЕРУ'],['550ВТ'],,,,,,,,,,,,,,,,,,,,,,,,,,
265,,450,,,блок,блок питания,['БЛОК ПИТАНИЯ К КОМПЬЮТЕРУ'],['450ВТ'],,,,,,,,,,,,,,,,,,,,,,,,,,
266,,,,,источник,бесперебойное питание,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['800ВА 480ВТ'],,,,,800,,,,,,,,,,,,,,,,,,,,,
267,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['1350ВА 810ВТ'],,,,,810,,,,,,,,,,,,,,,,,,,,,
268,atx,450,,,блок,блок питания,['БЛОК ПИТАНИЯ КОМПЬЮТЕРА'],['450ВТ ATX 12V 2.2'],,,,,,,,,,,,,,,,,,,,,,,,,,
269,atx,300,,,блок,блок питания,['БЛОК ПИТАНИЯ КОМПЬЮТЕРА'],['300ВТ 12V 2.01'],,,,,,,,,,,,,,,,,,,,,,,,,,
270,atx,450,,,блок,блок питания,['БЛОК ПИТАНИЯ'],"['450ВТ REV 2.0 86Х150Х140 1,3КГ']",,,,,,,,,,,,,,,,,,,,,,,,,,
271,atx,300,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['300ВТ REV 2.0'],,,,,,,,,,,,,,,,,,,,,,,,,,
272,atx,500,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['500ВТ'],,,,,,,,,,,,,,,,,,,,,,,,,,
273,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['850ВА 510ВТ'],,,,,850,,,,,,,,,,,,,,,,,,,,,
274,atx,500,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['500ВТ/ATX12V2.2/20+4PIN/4-PIN CPU-1ШТ/6+2-PIN PCI-E-1ШТ/15-PIN SATA-2ШТ/4-PIN IDE-5ШТ/4-PIN FLOPPY-1ШТ/86X150X140'],,,,,,,,,,,,,,,,,,,,,,,,,,
275,atx,550,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['550ВТ 120ММ'],,,,,,,,,,,,,,,,,,,,,,,,,,
276,atx,500,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['500ВТ'],,,,,,,,,,,,,,,,,,,,,,,,,,
277,din-рейка,45,,,блок,блок питания,['БЛОК ПИТАНИЯ КОММУТАТОРА ДЛЯ МОНТАЖА НА DIN-РЕЙКУ'],['85-264/24В 45ВТ 2А 78Х93Х67'],,,,,,,,,,,,,,,,,,,,,,,,,,
278,atx,350,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['350ВТ'],,,,,,,,,,,,,,,,,,,,,,,,,,
279,atx,350,,,блок,блок питания,['БЛОК ПИТАНИЯ ДЛЯ НОУТБУКА'],['350ВТ'],,,,,,,,,,,,,,,,,,,,,,,,,,
280,,450,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['450ВТ'],,,,,,,,,,,,,,,,,,,,,,,,,,
281,,60вт,,,блок,блок питания,['БЛОК ПИТАНИЯ МОНИТОРА'],['19В 3.42А 60ВТ'],,,,,,,,,,,,,,,,,,,,,,,,,,
282,din-рейка,100,,,блок,блок питания,['БЛОК ПИТАНИЯ НА DIN-РЕЙКУ'],"['88-264/24В 100ВТ 4,2А 1ВЫХОД 100Х93Х56ММ']",,,,,,,,,,,,,,,,,,,,,,,,,,
283,горизонтальный,,,,блок,блок силовых,['БЛОК СИЛОВЫХ РОЗЕТОК ГОРИЗОНТАЛЬНЫЙ'],"['19ДЮЙМОВ 6РОЗЕТОК 16А ШНУР2,5М']",,,,,,,,,,,,,,,,,,,,,,,,,,
284,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['800ВА'],,,,,800,,,,,,,,,,,,,,,,,,,,,
285,atx,350,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['350ВТ ATX12V'],,,,,,,,,,,,,,,,,,,,,,,,,,
286,atx,600,85plus,,блок,блок питания,['БЛОК ПИТАНИЯ'],['600ВТ ATX'],,,,,,,,,,,,,,,,,,,,,,,,,,
287,,100,,,блок,блок питания,['БЛОК ПИТАНИЯ ИМПУЛЬСНЫЙ'],['24В 4А 100ВТ'],,,,,,,,,,,,,,,,,,,,,,,,,,
288,,"0,25",,,блок,блок бесперебойного,['БЛОК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],[nan],,,,,,,,,,,,,,,,,,,,,,,,,,
289,atx,1250,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['1250ВТ ATX'],,,,,,,,,,,,,,,,,,,,,,,,,,
290,,240,,,блок,блок бесперебойного,['БЛОК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['240'],,,,,,,,,,,,,,,,,,,,,,,,,,
291,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],[nan],,,,,,,,,,,,,,,,,,,,,,,,,,
292,,600,,,блок,блок бесперебойного,['БЛОК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['600'],,,,,,,,,,,,,,,,,,,,,,,,,,
293,rack,1000va/670w,,,блок,блок бесперебойного,['БЛОК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['1000VA/670W'],,,,,,,,,,,,,,,,,,,,,,,,,,
294,,,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['ОБЕСПЕЧИВАЕТ ПИТАНИЕ ДЛЯ ЗАРЯДНОГО УСТРОЙСТВА И ETHERNET КРЭДЛОВ. ДЛЯ ИСПОЛЬЗОВАНИЯ С MC55/65'],,,,,,,,,,,,,,,,,,,,,,,,,,
295,atx,600,86,,блок,блок питания,['БЛОК ПИТАНИЯ'],"['600ВТ ATX2,3, EPS12V 86Х150Х158']",,,,,,,,,,,,,,,,,,,,,,,,,,
296,,600,80 plus,,блок,блок питания,['БЛОК ПИТАНИЯ'],['600ВТ'],,,,,,,,,,,,,,,,,,,,,,,,,,
297,atx,700,80+bronze,apfc,блок,блок питания,['БЛОК ПИТАНИЯ'],['700ВТ ATX12V2.3 80+BRONZE APFC 8ХSATA I/O SWITCH RTL 86Х150Х140'],,,,,,,,,,,,,,,,,,,,,,,,,,
298,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['850ВА'],,,,,850,,,,,,,,,,,,,,,,,,,,,
299,atx,500,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['500ВТ ATX12V 2.3 / EPS12V 150Х86Х140'],,,,,,,,,,,,,,,,,,,,,,,,,,
300,atx,750,86,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],['750ВТ PFC ATX12V 2.3 EPS12V 86Х150Х160'],,,,,,,,,,,,,,,,,,,,,,,,,,
301,atx,350,,,блок,блок питания,['БЛОК ПИТАНИЯ'],"['ATX12V 2.3 350ВТ 234,7Х198,9Х96,9 1,256КГ']",,,,,,,,,,,,,,,,,,,,,,,,,,
302,atx,350,,,блок,блок питания,['БЛОК ПИТАНИЯ'],"['350ВТ ATX12V V2.03 20/24+4PIN, DВЕНТ=80 205Х160Х97 0,9КГ']",,,,,,,,,,,,,,,,,,,,,,,,,,
303,,200,,,блок,блок питания,['БЛОК ПИТАНИЯ ИМПУЛЬСНЫЙ'],"['200ВТ 3,3В 0-40А 147Х227Х50']",,,,,,,,,,,,,,,,,,,,,,,,,,
304,,12,,,блок,блок питания,['БЛОК ПИТАНИЯ'],"['AC=90-260В/DC=24В 0,5А 2ХRJ-45 85Х43Х30 113Г']",,,,,,,,,,,,,,,,,,,,,,,,,,
305,atx,500,80+,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],['500ВТ PFC ATX 12V 2.3 150Х86Х140'],,,,,,,,,,,,,,,,,,,,,,,,,,
306,atx,450,80+,,блок,блок питания,['БЛОК ПИТАНИЯ'],"['450ВТ ATX12V 2.3 150Х86Х140 0,85КГ']",,,,,,,,,,,,,,,,,,,,,,,,,,
307,atx,450,,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],['ATX 450ВТ DВЕНТИЛЯТОРА=120 20+4PIN 86Х150Х140'],,,,,,,,,,,,,,,,,,,,,,,,,,
308,,250,86,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА КОМПЬЮТЕРА'],['250ВТ 86Х150Х160 1КГ'],,,,,,,,,,,,,,,,,,,,,,,,,,
309,atx,650,не указано,не указано,блок,блок питания,['БЛОК ПИТАНИЯ'],"['650ВТ ATХ12V 2.3 ВЕНТИЛЯТОР=120Х120 86Х150Х140 1,15КГ']",,,,,,,,,,,,,,,,,,,,,,,,,,
310,atx,500,,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],['500ВТ ATX12V: 2.3 DВЕНТИЛЯТОРА=120 86Х150Х160 1280Г'],,,,,,,,,,,,,,,,,,,,,,,,,,
311,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['650ВА/360ВВТ 4РОЗЕТКИ UPSХ4 IEC320C13L 252Х84Х159 3,6КГ ЧЕРНЫЙ']",,,,,360,4,,,,,,,,,,,,,,,,,,,,
312,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['1000ВА 700ВТ/3ХIEC 320 C13/1ХIEC 320 C14/RS-232/ 310Х86Х438 16КГ ЧЕРНЫЙ'],,,,,700 вт,3 х iec 320 c13,,rs-232,,,,,,,,,,,,,,,,,,
313,,,,,модуль,модуль батарейный,['МОДУЛЬ БАТАРЕЙНЫЙ ИСТОЧНИКА БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['6Х(12В 9А/ЧАС) 410Х438Х88'],,,,,,,,,,ess-36v12-9,12,9,,,,,,,,,,,,,,bpvbb01
314,atx,500,,active,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],['500ВТ PFC ATX12V 2.31 150Х86Х140'],,,,,,,,,,,,,,,,,,,,,,,,,,
315,atx,500,,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],"['500ВТ ATХ/12V/2.3/ DВЕНТИЛЯТОРА=140 140Х150Х86 1,58КГ']",,,,,,,,,,,,,,,,,,,,,,,,,,
316,,600,,"0,95",блок,блок питания,['БЛОК ПИТАНИЯ ДЛЯ КОММУТАТОРА'],"['12В 50А 600ВТ 90Х215Х40 0,95КГ']",,,,,,,,,,,,,,,,,,,,,,,,,,
317,,60,,,блок,блок питания,['БЛОК ПИТАНИЯ ДЛЯ КОММУТАТОРА'],['60ВТ S5735'],,,,,,,,,,,,,,,,,,,,,,,,,,
318,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['750ВА 450ВТ'],,,,,450,,,,,,,,,,,,,,,,,,,,,
319,,30a,,,блок,блок распределения,['БЛОК РАСПРЕДЕЛЕНИЯ ПИТАНИЯ'],"['RACK PDU, 30A, 230V, (32) C13, (6) C19,1,6М']",,,,,,,,,,,,,,,,,,,,,,,,,,
320,,,,,ИБП,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['650ВА 100Х278Х143 4,35КГ ЧЕРНЫЙ']",,,,,650,,,,,,,,,,,,,,,,,,,,,
321,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['500ВА 300ВТ 92Х160 4,2КГ']",,,,,300,,,,,,,,,,,,,,,,,,,,,
322,,,,,ИБП,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['675ВА РОЗЕТКИ=2'],,,,,675,2,,,,,,,,,,,,,,,,,,,,
323,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['1000ВА 800ВТ/4ХIEC 320 C13/1ХIEC 320 C14/RS-232/ 438Х88Х630 28,9КГ']",,,,,800,4,,rs-232,,,,,,,,,,,,,,,,,,
324,,1100,,,блок,блок питания,['БЛОК ПИТАНИЯ КОММУТАТОРА'],['1100ВТ AC 100-120/200-240В'],,,,,,,,,,,,,,,,,,,,,,,,,,
325,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['650ВА 360ВТ 162-285В 100X143X278 4,35КГ']",,,,,360 вт,,,,,,,,,,,,,,,,,,,,,
326,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['750ВА 450ВТ 8РОЗЕТОК 285X103X232 ММ 7.4 КГ'],,,,,450,8,,,,,,,,,,,,,,,,,,,,
327,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['1050ВА 162-275В USB TYPE B 100Х143Х278 5,35КГ']",,,,,1050,,,usb type b,,,,,,,,,,,,,,,,,,
328,atx,750,80+ bronze,apfc,блок,блок питания,['БЛОК ПИТАНИЯ'],['ATX 12В 120ММ 9XSATA 4XPCI-E6+2 APFC 80+ BRONZE 140Х150Х86'],,,,,,,,,,,,,,,,,,,,,,,,,,
329,atx,450,,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],['450ВТ ATX 12V 2.31 120Х120 140Х150Х86'],,,,,,,,,,,,,,,,,,,,,,,,,,
330,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['650ВА 180-266 В/47-63ГЦ/EURO 6/2/ 45ДБ/130Х365Х120ММ / ЧЕРНЫЙ'],,,,,650,6,2,,,,,,,,,,,,,,,,,,,
331,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['170-290В 1000ВА 600ВТ'],,,,,600,,,,,,,,,,,,,,,,,,,,,
332,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['800ВА/480ВТ/4РАЗЪЕМА/USB/8Ч/IP20 101Х142Х298 5,5КГ']",,,,,480,4,,usb,,,,,,,,,,,,,,,,,,
333,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['850ВА/520ВТ/8ХCEE-7(6+2)/USB-TYPE-C/130Х120Х365ММ/4,5КГ/ЧЕРНЫЙ']",,,,,850,8,6,usb-type-c,,,,,,,,,,,,,,,,,,
334,,,,,источник,источник питания,['ИСТОЧНИК ПИТАНИЯ ОБЪЕКТНЫХ КОНТРОЛЛЕРОВ СТРЕЛОК'],"['3Х380В 1,5КВА 520Х350Х160']",,,,,"1,5 ква",,,,,,,,,,,,,,,,,,,,,
335,atx,750,,,блок,блок питания,['БЛОК ПИТАНИЯ'],"['ATX 12V 2.3/ EPS12V 750ВТ 240В 62,5А 150Х86Х160 1.5КГ ЧЕРНЫЙ']",,,,,,,,,,,,,,,,,,,,,,,,,,
336,атх,600,80+бронза,,блок,блок питания,['БЛОК ПИТАНИЯ'],"['АТХ 12V V2.31 600ВТ 24+4+4 PIN 2Х(6+2) 2XMOLEX/6XSATA/1XFDD 150Х140Х86 2,216КГ ЧЕРНЫЙ']",,,,,,,,,,,,,,,,,,,,,,,,,,
337,atx,500,,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],['500ВТ ATX12V=2.3 ВЕНТИЛЯТОР=120Х120 140Х150Х86 ЧЕРНЫЙ'],,,,,,,,,,,,,,,,,,,,,,,,,,
338,atx,800,20+4pin,,блок,блок питания,['БЛОК ПИТАНИЯ'],"['800ВТ ATX12В 2,3 20+4PIN DВЕНТИЛЯТОРА=120 140Х150Х86']",,,,,,,,,,,,,,,,,,,,,,,,,,
339,atx,450,,,блок,блок питания,['БЛОК ПИТАНИЯ'],"['ATX 12V V.2.3 450ВТ 24+4 PIN 6 PIN 2XMOLEX/2XSATA/1XFDD 150Х86Х140 1,2КГ СЕРЫЙ']",,,,,,,,,,,,,,,,,,,,,,,,,,
340,,150,,,блок,блок питания,['БЛОК ПИТАНИЯ КОММУТАТОРА'],['150ВТ'],,,,,,,,,,,,,,,,,,,,,,,,,,
341,atx,550,bronze,,блок,блок питания,['БЛОК ПИТАНИЯ'],['550ВТ 200-240В 120ММ ATX'],,,,,,,,,,,,,,,,,,,,,,,,,,
342,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['650ВА 360ВТ 162-285В 3ХIEC320C13 100Х143Х278 4,35КГ']",,,,,360,3,,,,,,,,,,,,,,,,,,,,
343,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['ЛИНЕЙНО-ИНТЕРАКТИВНЫЙ, 650ВА/360ВТ, 2 РОЗЕТКИ, 84Х252Х159 3,6КГ']",,,,,650,2,,,,,,,,,,,,,,,,,,,,
344,atx,600,80+,,блок,блок питания,['БЛОК ПИТАНИЯ'],"['600ВТ/24+4+4 PIN/6+2 PIN ATX/150Х86Х140 1,45КГ']",,,,,,,,,,,,,,,,,,,,,,,,,,
345,atx,1250,,,блок,блок питания,['БЛОК ПИТАНИЯ'],"['1250ВТ ATX12V2.4 20+8PIN 86Х150Х160 4,56КГ']",,,,,,,,,,,,,,,,,,,,,,,,,,
346,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['3000 ВА/2700 ВТ/USB/RS-232/190X327X399/22,7 КГ']",,,,,3000 ва,,,"usb, rs-232",,,,,,,,,,,,,,,,,,
347,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['900 ВА/540 ВТ/100X250X382/10.72 КГ'],,,,,540,,,,,,,,,,,,,,,,,,,,,
348,,,,,источник,бесперебойное питание,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['1000 ВА/900 ВТ/USB, RS-232/144X228X356/9,2 КГ']",,,,,900,,,"usb, rs-232",,,,,,,,,,,,,,,,,,
349,,,,,источник,бесперебойное питание,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['800 ВА/480 ВТ/USB, RS-232/120X202X295/8КГ']",,,,,800,,,"usb, rs-232",,,,,,,,,,,,,,,,,,
350,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['1000 ВА/600 ВТ/160X92X305 ММ/ 5.7 КГ'],,,,,1000 ва,,,,,,,,,,,,,,,,,,,,,
351,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['3КВА 220В 438Х88Х630 30КГ'],,,,,3ква,,,,,,,,,,,,,,,,,,,,,
352,,200,,,блок питания,блок питания,['БЛОК ПИТАНИЯ'],"['12В 16,7А 200ВТ 215Х115Х30']",,,,,,,,,,,,,,,,,,,,,,,,,,
353,,20,,,блок,блок питания,['БЛОК ПИТАНИЯ ИМПУЛЬСНЫЙ'],"['90-264/5В, 4А, 20ВТ, РАЗЪЕМ-5.5Х2.1Х11 79Х54Х33 210Г']",,,,,,,,,,,,,,,,,,,,,,,,,,
354,atx,800,,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],"['ATX 12V- 2.4, 800 ВТ, 20+4-PIN - 1, 120 ММ, 4+4-PIN - 1, DC/DC, 150Х86Х140']",,,,,,,,,,,,,,,,,,,,,,,,,,
355,,10,,,блок,блок питания,['БЛОК ПИТАНИЯ'],"['24В 10ВТ 0,42А']",,,,,,,,,,,,,,,,,,,,,,,,,,
356,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['1500ВА 900ВТ 147Х360Х234 12КГ'],,,,,900,,,,,,,,,,,,,,,,,,,,,
357,,,,,источник,источник питания,['ИСТОЧНИК ПИТАНИЯ ИМПУЛЬСНЫЙ ДЛЯ МОНТАЖА НА DIN-РЕЙКУ'],['48В 120ВТ 0-2.5А'],,,,,120,,,,,,,,,,,,,,,,,,,,,
358,,,,,источник,источник питания,['ИСТОЧНИК ПИТАНИЯ ИМПУЛЬСНЫЙ ДЛЯ МОНТАЖА НА DIN-РЕЙКУ'],"['5В, 10ВТ 0-2А']",,,,,10вт,,,,,,,,,,,,,,,,,,,,,
